Date,Close
1/2/2020 16:00:00,23.63
1/3/2020 16:00:00,23.44
1/6/2020 16:00:00,23.27
1/7/2020 16:00:00,23.1
1/8/2020 16:00:00,23.07
1/9/2020 16:00:00,23.2
1/10/2020 16:00:00,26.09
1/13/2020 16:00:00,28.51
1/14/2020 16:00:00,27
1/15/2020 16:00:00,27.7
1/16/2020 16:00:00,28.61
1/17/2020 16:00:00,28.67
1/21/2020 16:00:00,28.59
1/22/2020 16:00:00,29.12
1/23/2020 16:00:00,28.79
1/24/2020 16:00:00,28.94
1/27/2020 16:00:00,28.71
1/28/2020 16:00:00,28.81
1/29/2020 16:00:00,28.78
1/30/2020 16:00:00,28.75
1/31/2020 16:00:00,27.96
2/3/2020 16:00:00,28.66
2/4/2020 16:00:00,29.21
2/5/2020 16:00:00,29.46
2/6/2020 16:00:00,28.26
2/7/2020 16:00:00,27.55
2/10/2020 16:00:00,29.11
2/11/2020 16:00:00,28.99
2/12/2020 16:00:00,29.04
2/13/2020 16:00:00,28.69
2/14/2020 16:00:00,28.02
2/18/2020 16:00:00,27.53
2/19/2020 16:00:00,27.56
2/20/2020 16:00:00,27.86
2/21/2020 16:00:00,27.74
2/24/2020 16:00:00,26.95
2/25/2020 16:00:00,26.37
2/26/2020 16:00:00,26.53
2/27/2020 16:00:00,25.76
2/28/2020 16:00:00,25.38
3/2/2020 16:00:00,26.15
3/3/2020 16:00:00,26.1
3/4/2020 16:00:00,26.67
3/5/2020 16:00:00,25.89
3/6/2020 16:00:00,25.26
3/9/2020 16:00:00,23.04
3/10/2020 16:00:00,24.38
3/11/2020 16:00:00,24.24
3/12/2020 16:00:00,22.2
3/13/2020 16:00:00,22.92
3/16/2020 16:00:00,17.38
3/17/2020 16:00:00,19.12
3/18/2020 16:00:00,15.98
3/19/2020 16:00:00,16.1
3/20/2020 16:00:00,16.88
3/23/2020 16:00:00,16.77
3/24/2020 16:00:00,18.81
3/25/2020 16:00:00,20.67
3/26/2020 16:00:00,21.73
3/27/2020 16:00:00,20.37
3/30/2020 16:00:00,20.89
3/31/2020 16:00:00,21.28
4/1/2020 16:00:00,20.46
4/2/2020 16:00:00,20.89
4/3/2020 16:00:00,20.18
4/6/2020 16:00:00,20.21
4/7/2020 16:00:00,20.28
4/8/2020 16:00:00,20.93
4/9/2020 16:00:00,21.48
4/13/2020 16:00:00,21.29
4/14/2020 16:00:00,21.9
4/15/2020 16:00:00,21.61
4/16/2020 16:00:00,21.6
4/17/2020 16:00:00,21.77
4/20/2020 16:00:00,21.69
4/21/2020 16:00:00,20.98
4/22/2020 16:00:00,21.46
4/23/2020 16:00:00,21.62
4/24/2020 16:00:00,21.7
4/27/2020 16:00:00,22.23
4/28/2020 16:00:00,22.77
4/29/2020 16:00:00,23.47
4/30/2020 16:00:00,22.9
5/1/2020 16:00:00,22.23
5/4/2020 16:00:00,22.33
5/5/2020 16:00:00,22.47
5/6/2020 16:00:00,22.02
5/7/2020 16:00:00,22.38
5/8/2020 16:00:00,25.42
5/11/2020 16:00:00,25.65
5/12/2020 16:00:00,23.98
5/13/2020 16:00:00,23.29
5/14/2020 16:00:00,23.35
5/15/2020 16:00:00,23.29
5/18/2020 16:00:00,24.41
5/19/2020 16:00:00,24.79
5/20/2020 16:00:00,25.6
5/21/2020 16:00:00,25.16
5/22/2020 16:00:00,24.7
5/26/2020 16:00:00,25.3
5/27/2020 16:00:00,25.89
5/28/2020 16:00:00,25.33
5/29/2020 16:00:00,25.96
6/1/2020 16:00:00,26.55
6/2/2020 16:00:00,27.46
6/3/2020 16:00:00,27.73
6/4/2020 16:00:00,27.75
6/5/2020 16:00:00,28.61
6/8/2020 16:00:00,29.71
6/9/2020 16:00:00,29.62
6/10/2020 16:00:00,29.1
6/11/2020 16:00:00,28.02
6/12/2020 16:00:00,29.22
6/15/2020 16:00:00,31.29
6/16/2020 16:00:00,31.15
6/17/2020 16:00:00,31.77
6/18/2020 16:00:00,31.42
6/19/2020 16:00:00,32.31
6/22/2020 16:00:00,31.03
6/23/2020 16:00:00,31.27
6/24/2020 16:00:00,30.61
6/25/2020 16:00:00,31.03
6/26/2020 16:00:00,28.12
6/29/2020 16:00:00,28.24
6/30/2020 16:00:00,28.39
7/1/2020 16:00:00,27.94
7/2/2020 16:00:00,27.48
7/6/2020 16:00:00,27.95
7/7/2020 16:00:00,27.53
7/8/2020 16:00:00,28.21
7/9/2020 16:00:00,27.66
7/10/2020 16:00:00,27.64
7/13/2020 16:00:00,27.13
7/14/2020 16:00:00,27.7
7/15/2020 16:00:00,27.86
7/16/2020 16:00:00,28.13
7/17/2020 16:00:00,28.4
7/20/2020 16:00:00,28.65
7/21/2020 16:00:00,28.09
7/22/2020 16:00:00,27.97
7/23/2020 16:00:00,27.62
7/24/2020 16:00:00,27.17
7/27/2020 16:00:00,28.46
7/28/2020 16:00:00,28.14
7/29/2020 16:00:00,29.58
7/30/2020 16:00:00,29.73
7/31/2020 16:00:00,30.31
8/3/2020 16:00:00,30.31
8/4/2020 16:00:00,30.33
8/5/2020 16:00:00,30.79
8/6/2020 16:00:00,30.09
8/7/2020 16:00:00,30.18
8/10/2020 16:00:00,30.21
8/11/2020 16:00:00,30.48
8/12/2020 16:00:00,26.01
8/13/2020 16:00:00,25.99
8/14/2020 16:00:00,26.1
8/17/2020 16:00:00,25.74
8/18/2020 16:00:00,25.86
8/19/2020 16:00:00,25.91
8/20/2020 16:00:00,26.19
8/21/2020 16:00:00,26.54
8/24/2020 16:00:00,26.66
8/25/2020 16:00:00,26.65
8/26/2020 16:00:00,25.99
8/27/2020 16:00:00,26.15
8/28/2020 16:00:00,27.07
8/31/2020 16:00:00,27.39
9/1/2020 16:00:00,27.07
9/2/2020 16:00:00,27.32
9/3/2020 16:00:00,25.84
9/4/2020 16:00:00,25.54
9/8/2020 16:00:00,25.31
9/9/2020 16:00:00,26.17
9/10/2020 16:00:00,25.44
9/11/2020 16:00:00,25.66
9/14/2020 16:00:00,26.34
9/15/2020 16:00:00,26.25
9/16/2020 16:00:00,26.3
9/17/2020 16:00:00,26.39
9/18/2020 16:00:00,26.95
9/21/2020 16:00:00,25.91
9/22/2020 16:00:00,26.04
9/23/2020 16:00:00,25.13
9/24/2020 16:00:00,25.42
9/25/2020 16:00:00,25.71
9/28/2020 16:00:00,26.49
9/29/2020 16:00:00,26.8
9/30/2020 16:00:00,26.4
10/1/2020 16:00:00,26.16
10/2/2020 16:00:00,25.83
10/5/2020 16:00:00,26.76
10/6/2020 16:00:00,26.51
10/7/2020 16:00:00,27.03
10/8/2020 16:00:00,27.61
10/9/2020 16:00:00,27.71
10/12/2020 16:00:00,27.92
10/13/2020 16:00:00,27.85
10/14/2020 16:00:00,27.45
10/15/2020 16:00:00,27.66
10/16/2020 16:00:00,27.29
10/19/2020 16:00:00,26.69
10/20/2020 16:00:00,26.52
10/21/2020 16:00:00,26.15
10/22/2020 16:00:00,26.76
10/23/2020 16:00:00,25.46
10/26/2020 16:00:00,24.3
10/27/2020 16:00:00,23.74
10/28/2020 16:00:00,22.25
10/29/2020 16:00:00,22.95
10/30/2020 16:00:00,22.72
11/2/2020 16:00:00,23
11/3/2020 16:00:00,23.21
11/4/2020 16:00:00,28.38
11/5/2020 16:00:00,28.69
11/6/2020 16:00:00,27.97
11/9/2020 16:00:00,27.7
11/10/2020 16:00:00,27.78
11/11/2020 16:00:00,28.5
11/12/2020 16:00:00,28.55
11/13/2020 16:00:00,29.53
11/16/2020 16:00:00,29.49
11/17/2020 16:00:00,29.5
11/18/2020 16:00:00,29.56
11/19/2020 16:00:00,29.96
11/20/2020 16:00:00,29.94
11/23/2020 16:00:00,29.36
11/24/2020 16:00:00,29.09
11/25/2020 16:00:00,29.31
11/27/2020 13:00:00,29.65
11/30/2020 16:00:00,28.21
12/1/2020 16:00:00,28.87
12/2/2020 16:00:00,29.14
12/3/2020 16:00:00,29.67
12/4/2020 16:00:00,30.63
12/7/2020 16:00:00,30.95
12/8/2020 16:00:00,30.92
12/9/2020 16:00:00,30.34
12/10/2020 16:00:00,30.43
12/11/2020 16:00:00,29.92
12/14/2020 16:00:00,29.24
12/15/2020 16:00:00,29.9
12/16/2020 16:00:00,29.93
12/17/2020 16:00:00,29.95
12/18/2020 16:00:00,30.49
12/21/2020 16:00:00,29.97
12/22/2020 16:00:00,29.8
12/23/2020 16:00:00,30.19
12/24/2020 13:00:00,30.52
12/28/2020 16:00:00,30.53
12/29/2020 16:00:00,30.53
12/30/2020 16:00:00,30.47
12/31/2020 16:00:00,31.66
1/4/2021 16:00:00,31.05
1/5/2021 16:00:00,31.16
1/6/2021 16:00:00,31.89
1/7/2021 16:00:00,32.19
1/8/2021 16:00:00,31.88
1/11/2021 16:00:00,32.1
1/12/2021 16:00:00,32.41
1/13/2021 16:00:00,32.54
1/14/2021 16:00:00,32.67
1/15/2021 16:00:00,32.35
1/19/2021 16:00:00,32.47
1/20/2021 16:00:00,33.68
1/21/2021 16:00:00,33.76
1/22/2021 16:00:00,34.21
1/25/2021 16:00:00,34.7
1/26/2021 16:00:00,33.79
1/27/2021 16:00:00,32.24
1/28/2021 16:00:00,31.8
1/29/2021 16:00:00,31
2/1/2021 16:00:00,31.54
2/2/2021 16:00:00,31.75
2/3/2021 16:00:00,33.03
2/4/2021 16:00:00,32.9
2/5/2021 16:00:00,31.95
2/8/2021 16:00:00,33.8
2/9/2021 16:00:00,33.9
2/10/2021 16:00:00,33.72
2/11/2021 16:00:00,34.22
2/12/2021 16:00:00,31.95
2/16/2021 16:00:00,31.93
2/17/2021 16:00:00,31.53
2/18/2021 16:00:00,31.63
2/19/2021 16:00:00,31.68
2/22/2021 16:00:00,31.78
2/23/2021 16:00:00,32.64
2/24/2021 16:00:00,33.7
2/25/2021 16:00:00,32.5
2/26/2021 16:00:00,32.63
3/1/2021 16:00:00,34.27
3/2/2021 16:00:00,34.08
3/3/2021 16:00:00,33.62
3/4/2021 16:00:00,32.62
3/5/2021 16:00:00,33.91
3/8/2021 16:00:00,34.55
3/9/2021 16:00:00,34.32
3/10/2021 16:00:00,35.7
